0:0.9978,1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0478,
0:0.9961,1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.1057,
0:0.9983,1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0445,
0:0.9976,1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0805,
0:0.9978,1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0856,
0:0.9959,1:0.0053,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.1351,
0:0.9967,1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.1133,
0:0.9980,1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0831,
0:0.9979,1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.0780,
0:0.9966,1:0.0053,2:0.0000,3:0.0000,4:0.0000,5:0.0000,6:0.0000,7:0.0000,8:0.0000,9:0.0000,10:0.0000,11:0.0000,12:0.0000,13:0.0000,14:0.0000,15:0.0000,16:0.0000,17:0.1149,
